,Unique ID ,Parent ID,Name,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
,1,,Apps,Apps,,,,
,2,1,Auto and Vehicles Apps,Apps,Auto and Vehicles Apps,,,
,3,1,Books Apps,Apps,Books Apps,,,
,4,1,Business Apps,Apps,Business Apps,,,
,5,1,Education Apps,Apps,Education Apps,,,
,6,1,Entertainment Apps,Apps,Entertainment Apps,,,
,7,1,Finance Apps,Apps,Finance Apps,,,
,8,1,Food and Drink Apps,Apps,Food and Drink Apps,,,
,9,1,Games Apps,Apps,Games Apps,,,
,0,1,Health and Fitness Apps,Apps,Health and Fitness Apps,,,
,11,1,Lifestyle Apps,Apps,Lifestyle Apps,,,
,12,1,Magazine and Newspapers Apps,Apps,Magazine and Newspapers Apps,,,
,13,1,Medical Apps,Apps,Medical Apps,,,
,14,1,Music Apps,Apps,Music Apps,,,
,15,1,Navigation Apps,Apps,Navigation Apps,,,
,16,1,News Apps,Apps,News Apps,,,
,17,1,Photo and Video Apps,Apps,Photo and Video Apps,,,
,18,1,Productivity Apps,Apps,Productivity Apps,,,
,19,1,Reference Apps,Apps,Reference Apps,,,
,20,1,Search Engine Apps,Apps,Search Engine Apps,,,
,21,1,Shopping Apps,Apps,Shopping Apps,,,
,22,1,Social Networking Apps,Apps,Social Networking Apps,,,
,23,1,Sports Apps,Apps,Sports Apps,,,
,24,1,Travel Apps,Apps,Travel Apps,,,
,25,1,Utilities Apps,Apps,Utilities Apps,,,
,26,1,Weather Apps,Apps,Weather Apps,,,
,27,,Arts and Entertainment,Arts and Entertainment,,,,
,28,27,Blogs/Forums/Social Networks,Arts and Entertainment,Blogs/Forums/Social Networks,,,
,29,27,Culture and Fine Arts,Arts and Entertainment,Culture and Fine Arts,,,
,30,27,Experiences and Events,Arts and Entertainment,Experiences and Events,,,
,31,30,Concerts,Arts and Entertainment,Experiences and Events,Concerts,,
,32,30,Theatre and Musicals,Arts and Entertainment,Experiences and Events,Theatre and Musicals,,
,33,30,Museums and Galleries,Arts and Entertainment,Experiences and Events,Museums and Galleries,,
,34,30,Sporting Events,Arts and Entertainment,Experiences and Events,Sporting Events,,
,35,30,Cinemas and Movie Events,Arts and Entertainment,Experiences and Events,Cinemas and Movie Events,,
,36,30,Aviation Shows,Arts and Entertainment,Experiences and Events,Aviation Shows,,
,37,30,Fairs and Farmer's Markets,Arts and Entertainment,Experiences and Events,Fairs and Farmer's Markets,,
,38,30,Exhibitions,Arts and Entertainment,Experiences and Events,Exhibitions,,
,39,30,Theme and Amusement Parks,Arts and Entertainment,Experiences and Events,Theme and Amusement Parks,,
,40,30,Parks and Wildlife,Arts and Entertainment,Experiences and Events,Parks and Wildlife,,
,41,30,Auto Shows,Arts and Entertainment,Experiences and Events,Auto Shows,,
,42,30,Nightclubs,Arts and Entertainment,Experiences and Events,Nightclubs,,
,43,30,Fashion Events,Arts and Entertainment,Experiences and Events,Fashion Events,,
,44,30,Comedy Events,Arts and Entertainment,Experiences and Events,Comedy Events,,
,45,30,Zoos and Aquariums,Arts and Entertainment,Experiences and Events,Zoos and Aquariums,,
,46,30,Fan Conventions,Arts and Entertainment,Experiences and Events,Fan Conventions,,
,47,27,Fantasy Sports,Arts and Entertainment,Fantasy Sports,,,
,48,27,Music and Video Streaming Services,Arts and Entertainment,Music and Video Streaming Services,,,
,49,27,Online Entertainment,Arts and Entertainment,Online Entertainment,,,
,50,27,Radio and Podcasts,Arts and Entertainment,Radio and Podcasts,,,
,51,27,Ticket Services,Arts and Entertainment,Ticket Services,,,
,52,27,TV,Arts and Entertainment,TV,,,
,53,,Automotive Ownership,Automotive Ownership,,,,
,54,53,New Vehicles,Automotive Ownership,New Vehicles,,,
,55,54,Commercial Trucks ,Automotive Ownership,New Vehicles,Commercial Trucks ,,
,56,54,Sedan ,Automotive Ownership,New Vehicles,Sedan ,,
,57,54,Station Wagon ,Automotive Ownership,New Vehicles,Station Wagon ,,
,58,54,SUV ,Automotive Ownership,New Vehicles,SUV ,,
,59,54,Van ,Automotive Ownership,New Vehicles,Van ,,
,60,54,Convertible ,Automotive Ownership,New Vehicles,Convertible ,,
,51,54,Coupe ,Automotive Ownership,New Vehicles,Coupe ,,
,62,54,Crossover,Automotive Ownership,New Vehicles,Crossover,,
,63,54,Hatchback ,Automotive Ownership,New Vehicles,Hatchback ,,
,64,54,Microcar ,Automotive Ownership,New Vehicles,Microcar ,,
,65,54,Minivan,Automotive Ownership,New Vehicles,Minivan,,
,66,54,Off-Road Vehicles ,Automotive Ownership,New Vehicles,Off-Road Vehicles ,,
,67,54,Pickup Trucks,Automotive Ownership,New Vehicles,Pickup Trucks,,
,68,54,Budget Cars ,Automotive Ownership,New Vehicles,Budget Cars ,,
,69,54,Classic Cars ,Automotive Ownership,New Vehicles,Classic Cars ,,
,70,54,Concept Cars ,Automotive Ownership,New Vehicles,Concept Cars ,,
,71,54,Driverless Cars ,Automotive Ownership,New Vehicles,Driverless Cars ,,
,72,54,Green Vehicles ,Automotive Ownership,New Vehicles,Green Vehicles ,,
,73,54,Luxury Cars ,Automotive Ownership,New Vehicles,Luxury Cars ,,
,74,54,Performance Cars ,Automotive Ownership,New Vehicles,Performance Cars ,,
,75,54,Motorbikes ,Automotive Ownership,New Vehicles,Motorbikes ,,
,76,54,Other Vehicles ,Automotive Ownership,New Vehicles,Other Vehicles ,,
,77,53,Pre-Owned Vehicles,Automotive Ownership,Pre-Owned Vehicles,,,
,78,77,Commercial Trucks ,Automotive Ownership,Pre-Owned Vehicles,Commercial Trucks ,,
,79,77,Sedan ,Automotive Ownership,Pre-Owned Vehicles,Sedan ,,
,80,77,Station Wagon ,Automotive Ownership,Pre-Owned Vehicles,Station Wagon ,,
