IAB Code	Tier	IAB Category
IAB1	Tier 1	Arts & Entertainment
IAB1-1	Tier 2	Books & Literature
IAB1-2	Tier 2	Celebrity Fan/Gossip
IAB1-3	Tier 2	Fine Art
IAB1-4	Tier 2	Humor
IAB1-5	Tier 2	Movies
IAB1-6	Tier 2	Music
IAB1-7	Tier 2	Television
IAB2	Tier 1	Automotive
IAB2-1	Tier 2	Auto Parts
IAB2-2	Tier 2	Auto Repair
IAB2-3	Tier 2	Buying/Selling Cars
IAB2-4	Tier 2	Car Culture
IAB2-5	Tier 2	Certified Pre-Owned
IAB2-6	Tier 2	Convertible
IAB2-7	Tier 2	Coupe
IAB2-8	Tier 2	Crossover
IAB2-9	Tier 2	Diesel
IAB2-10	Tier 2	Electric Vehicle
IAB2-11	Tier 2	Hatchback
IAB2-12	Tier 2	Hybrid
IAB2-13	Tier 2	Luxury
IAB2-14	Tier 2	MiniVan
IAB2-15	Tier 2	Mororcycles
IAB2-16	Tier 2	Off-Road Vehicles
IAB2-17	Tier 2	Performance Vehicles
IAB2-18	Tier 2	Pickup
IAB2-19	Tier 2	Road-Side Assistance
IAB2-20	Tier 2	Sedan
IAB2-21	Tier 2	Trucks & Accessories
IAB2-22	Tier 2	Vintage Cars
IAB2-23	Tier 2	Wagon
IAB3	Tier 1	Business
IAB3-1	Tier 2	Advertising
IAB3-2	Tier 2	Agriculture
IAB3-3	Tier 2	Biotech/Biomedical
IAB3-4	Tier 2	Business Software
IAB3-5	Tier 2	Construction
IAB3-6	Tier 2	Forestry
IAB3-7	Tier 2	Government
IAB3-8	Tier 2	Green Solutions
IAB3-9	Tier 2	Human Resources
IAB3-10	Tier 2	Logistics
IAB3-11	Tier 2	Marketing
IAB3-12	Tier 2	Metals
IAB4	Tier 1	Careers
IAB4-1	Tier 2	Career Planning
IAB4-2	Tier 2	College
IAB4-3	Tier 2	Financial Aid
IAB4-4	Tier 2	Job Fairs
IAB4-5	Tier 2	Job Search
IAB4-6	Tier 2	Resume Writing/Advice
IAB4-7	Tier 2	Nursing
IAB4-8	Tier 2	Scholarships
IAB4-9	Tier 2	Telecommuting
IAB4-10	Tier 2	U.S. Military
IAB4-11	Tier 2	Career Advice
IAB5	Tier 1	Education
IAB5-1	Tier 2	41832 Education
IAB5-2	Tier 2	Adult Education
IAB5-3	Tier 2	Art History
IAB5-4	Tier 2	Colledge Administration
IAB5-5	Tier 2	College Life
IAB5-6	Tier 2	Distance Learning
IAB5-7	Tier 2	English as a 2nd Language
IAB5-8	Tier 2	Language Learning
IAB5-9	Tier 2	Graduate School
IAB5-10	Tier 2	Homeschooling
IAB5-11	Tier 2	Homework/Study Tips
IAB5-12	Tier 2	K-6 Educators
IAB5-13	Tier 2	Private School
IAB5-14	Tier 2	Special Education
IAB5-15	Tier 2	Studying Business
IAB6	Tier 1	Family & Parenting
IAB6-1	Tier 2	Adoption
IAB6-2	Tier 2	Babies & Toddlers
IAB6-3	Tier 2	Daycare/Pre School
IAB6-4	Tier 2	Family Internet
IAB6-5	Tier 2	Parenting - K-6 Kids
IAB6-6	Tier 2	Parenting teens
IAB6-7	Tier 2	Pregnancy
IAB6-8	Tier 2	Special Needs Kids
IAB6-9	Tier 2	Eldercare
IAB7	Tier 1	Health & Fitness
IAB7-1	Tier 2	Exercise
IAB7-2	Tier 2	A.D.D.
IAB7-3	Tier 2	AIDS/HIV
IAB7-4	Tier 2	Allergies
IAB7-5	Tier 2	Alternative Medicine
IAB7-6	Tier 2	Arthritis
IAB7-7	Tier 2	Asthma
IAB7-8	Tier 2	Autism/PDD
IAB7-9	Tier 2	Bipolar Disorder
IAB7-10	Tier 2	Brain Tumor
IAB7-11	Tier 2	Cancer
IAB7-12	Tier 2	Cholesterol
IAB7-13	Tier 2	Chronic Fatigue Syndrome
IAB7-14	Tier 2	Chronic Pain
IAB7-15	Tier 2	Cold & Flu
IAB7-16	Tier 2	Deafness
IAB7-17	Tier 2	Dental Care
IAB7-18	Tier 2	Depression
IAB7-19	Tier 2	Dermatology
IAB7-20	Tier 2	Diabetes
IAB7-21	Tier 2	Epilepsy
IAB7-22	Tier 2	GERD/Acid Reflux
IAB7-23	Tier 2	Headaches/Migraines
IAB7-24	Tier 2	Heart Disease
IAB7-25	Tier 2	Herbs for Health
IAB7-26	Tier 2	Holistic Healing
IAB7-27	Tier 2	IBS/Crohn's Disease
IAB7-28	Tier 2	Incest/Abuse Support
IAB7-29	Tier 2	Incontinence
IAB7-30	Tier 2	Infertility
IAB7-31	Tier 2	Men's Health
IAB7-32	Tier 2	Nutrition
IAB7-33	Tier 2	Orthopedics
IAB7-34	Tier 2	Panic/Anxiety Disorders
IAB7-35	Tier 2	Pediatrics
IAB7-36	Tier 2	Physical Therapy
IAB7-37	Tier 2	Psychology/Psychiatry
IAB7-38	Tier 2	Senor Health
IAB7-39	Tier 2	Sexuality
IAB7-40	Tier 2	Sleep Disorders
IAB7-41	Tier 2	Smoking Cessation
IAB7-42	Tier 2	Substance Abuse
IAB7-43	Tier 2	Thyroid Disease
IAB7-44	Tier 2	Weight Loss
IAB7-45	Tier 2	Women's Health
IAB8	Tier 1	Food & Drink
IAB8-1	Tier 2	American Cuisine
IAB8-2	Tier 2	Barbecues & Grilling
IAB8-3	Tier 2	Cajun/Creole
IAB8-4	Tier 2	Chinese Cuisine
IAB8-5	Tier 2	Cocktails/Beer
IAB8-6	Tier 2	Coffee/Tea
IAB8-7	Tier 2	Cuisine-Specific
IAB8-8	Tier 2	Desserts & Baking
IAB8-9	Tier 2	Dining Out
IAB8-10	Tier 2	Food Allergies
IAB8-11	Tier 2	French Cuisine
IAB8-12	Tier 2	Health/Lowfat Cooking
IAB8-13	Tier 2	Italian Cuisine
IAB8-14	Tier 2	Japanese Cuisine
IAB8-15	Tier 2	Mexican Cuisine
IAB8-16	Tier 2	Vegan
IAB8-17	Tier 2	Vegetarian
IAB8-18	Tier 2	Wine
IAB9	Tier 1	Hobbies & Interests
IAB9-1	Tier 2	Art/Technology
IAB9-2	Tier 2	Arts & Crafts
IAB9-3	Tier 2	Beadwork
IAB9-4	Tier 2	Birdwatching
IAB9-5	Tier 2	Board Games/Puzzles
IAB9-6	Tier 2	Candle & Soap Making
IAB9-7	Tier 2	Card Games
IAB9-8	Tier 2	Chess
IAB9-9	Tier 2	Cigars
IAB9-10	Tier 2	Collecting
IAB9-11	Tier 2	Comic Books
IAB9-12	Tier 2	Drawing/Sketching
IAB9-13	Tier 2	Freelance Writing
IAB9-14	Tier 2	Genealogy
IAB9-15	Tier 2	Getting Published
IAB9-16	Tier 2	Guitar
IAB9-17	Tier 2	Home Recording
IAB9-18	Tier 2	Investors & Patents
IAB9-19	Tier 2	Jewelry Making
IAB9-20	Tier 2	Magic & Illusion
IAB9-21	Tier 2	Needlework
IAB9-22	Tier 2	Painting
IAB9-23	Tier 2	Photography
IAB9-24	Tier 2	Radio
IAB9-25	Tier 2	Roleplaying Games
IAB9-26	Tier 2	Sci-Fi & Fantasy
IAB9-27	Tier 2	Scrapbooking
IAB9-28	Tier 2	Screenwriting
IAB9-29	Tier 2	Stamps & Coins
IAB9-30	Tier 2	Video & Computer Games
IAB9-31	Tier 2	Woodworking
IAB10	Tier 1	Home & Garden
IAB10-1	Tier 2	Appliances
IAB10-2	Tier 2	Entertaining
IAB10-3	Tier 2	Environmental Safety
IAB10-4	Tier 2	Gardening
IAB10-5	Tier 2	Home Repair
IAB10-6	Tier 2	Home Theater
IAB10-7	Tier 2	Interior Decorating
IAB10-8	Tier 2	Landscaping
IAB10-9	Tier 2	Remodeling & Construction
IAB11	Tier 1	Law, Gov't & Politics
IAB11-1	Tier 2	Immigration
IAB11-2	Tier 2	Legal Issues
IAB11-3	Tier 2	U.S. Government Resources
IAB11-4	Tier 2	Politics
IAB11-5	Tier 2	Commentary
IAB12	Tier 1	News
IAB12-1	Tier 2	International News
IAB12-2	Tier 2	National News
IAB12-3	Tier 2	Local News
IAB13	Tier 1	Personal Finance
IAB13-1	Tier 2	Beginning Investing
IAB13-2	Tier 2	Credit/Debt & Loans
IAB13-3	Tier 2	Financial News
IAB13-4	Tier 2	Financial Planning
IAB13-5	Tier 2	Hedge Fund
IAB13-6	Tier 2	Insurance
IAB13-7	Tier 2	Investing
IAB13-8	Tier 2	Mutual Funds
IAB13-9	Tier 2	Options
IAB13-10	Tier 2	Retirement Planning
IAB13-11	Tier 2	Stocks
IAB13-12	Tier 2	Tax Planning
IAB14	Tier 1	Society
IAB14-1	Tier 2	Dating
IAB14-2	Tier 2	Divorce Support
IAB14-3	Tier 2	Gay Life
IAB14-4	Tier 2	Marriage
IAB14-5	Tier 2	Senior Living
IAB14-6	Tier 2	Teens
IAB14-7	Tier 2	Weddings
IAB14-8	Tier 2	Ethnic Specific
IAB15	Tier 1	Science
IAB15-1	Tier 2	Astrology
IAB15-2	Tier 2	Biology
IAB15-3	Tier 2	Chemistry
IAB15-4	Tier 2	Geology
IAB15-5	Tier 2	Paranormal Phenomena
IAB15-6	Tier 2	Physics
IAB15-7	Tier 2	Space/Astronomy
IAB15-8	Tier 2	Geography
IAB15-9	Tier 2	Botany
IAB15-10	Tier 2	Weather
IAB16	Tier 1	Pets
IAB16-1	Tier 2	Aquariums
IAB16-2	Tier 2	Birds
IAB16-3	Tier 2	Cats
IAB16-4	Tier 2	Dogs
IAB16-5	Tier 2	Large Animals
IAB16-6	Tier 2	Reptiles
IAB16-7	Tier 2	Veterinary Medicine
IAB17	Tier 1	Sports
IAB17-1	Tier 2	Auto Racing
IAB17-2	Tier 2	Baseball
IAB17-3	Tier 2	Bicycling
IAB17-4	Tier 2	Bodybuilding
IAB17-5	Tier 2	Boxing
IAB17-6	Tier 2	Canoeing/Kayaking
IAB17-7	Tier 2	Cheerleading
IAB17-8	Tier 2	Climbing
IAB17-9	Tier 2	Cricket
IAB17-10	Tier 2	Figure Skating
IAB17-11	Tier 2	Fly Fishing
IAB17-12	Tier 2	Football
IAB17-13	Tier 2	Freshwater Fishing
IAB17-14	Tier 2	Game & Fish
IAB17-15	Tier 2	Golf
IAB17-16	Tier 2	Horse Racing
IAB17-17	Tier 2	Horses
IAB17-18	Tier 2	Hunting/Shooting
IAB17-19	Tier 2	Inline Skating
IAB17-20	Tier 2	Martial Arts
IAB17-21	Tier 2	Mountain Biking
IAB17-22	Tier 2	NASCAR Racing
IAB17-23	Tier 2	Olympics
IAB17-24	Tier 2	Paintball
IAB17-25	Tier 2	Power & Motorcycles
IAB17-26	Tier 2	Pro Basketball
IAB17-27	Tier 2	Pro Ice Hockey
IAB17-28	Tier 2	Rodeo
IAB17-29	Tier 2	Rugby
IAB17-30	Tier 2	Running/Jogging
IAB17-31	Tier 2	Sailing
IAB17-32	Tier 2	Saltwater Fishing
IAB17-33	Tier 2	Scuba Diving
IAB17-34	Tier 2	Skateboarding
IAB17-35	Tier 2	Skiing
IAB17-36	Tier 2	Snowboarding
IAB17-37	Tier 2	Surfing/Bodyboarding
IAB17-38	Tier 2	Swimming
IAB17-39	Tier 2	Table Tennis/Ping-Pong
IAB17-40	Tier 2	Tennis
IAB17-41	Tier 2	Volleyball
IAB17-42	Tier 2	Walking
IAB17-43	Tier 2	Waterski/Wakeboard
IAB17-44	Tier 2	World Soccer
IAB18	Tier 1	Style & Fashion
IAB18-1	Tier 2	Beauty
IAB18-2	Tier 2	Body Art
IAB18-3	Tier 2	Fashion
IAB18-4	Tier 2	Jewelry
IAB18-5	Tier 2	Clothing
IAB18-6	Tier 2	Accessories
IAB19	Tier 1	Technology & Computing
IAB19-1	Tier 2	3-D Graphics
IAB19-2	Tier 2	Animation
IAB19-3	Tier 2	Antivirus Software
IAB19-4	Tier 2	C/C++
IAB19-5	Tier 2	Cameras & Camcorders
IAB19-6	Tier 2	Cell Phones
IAB19-7	Tier 2	Computer Certification
IAB19-8	Tier 2	Computer Networking
IAB19-9	Tier 2	Computer Peripherals
IAB19-10	Tier 2	Computer Reviews
IAB19-11	Tier 2	Data Centers
IAB19-12	Tier 2	Databases
IAB19-13	Tier 2	Desktop Publishing
IAB19-14	Tier 2	Desktop Video
IAB19-15	Tier 2	Email
IAB19-16	Tier 2	Graphics Software
IAB19-17	Tier 2	Home Video/DVD
IAB19-18	Tier 2	Internet Technology
IAB19-19	Tier 2	Java
IAB19-20	Tier 2	JavaScript
IAB19-21	Tier 2	Mac Support
IAB19-22	Tier 2	MP3/MIDI
IAB19-23	Tier 2	Net Conferencing
IAB19-24	Tier 2	Net for Beginners
IAB19-25	Tier 2	Network Security
IAB19-26	Tier 2	Palmtops/PDAs
IAB19-27	Tier 2	PC Support
IAB19-28	Tier 2	Portable
IAB19-29	Tier 2	Entertainment
IAB19-30	Tier 2	Shareware/Freeware
IAB19-31	Tier 2	Unix
