Ad Product 2.0						Ad Product 1.1		
AP2 Name	Unique ID	Parent ID	Tier 1	Tier 2	Tier 3	AP1 UID	AP1 Parent ID	Name
Adult Content		1000	Adult Content					
Alcohol	1001		Alcohol					
Bars	1002	1001	Alcohol	Bars		650	648	Bars
Beer	1003	1001	Alcohol	Beer				
Hard Sodas, Seltzers, Alco Pops	1004	1001	Alcohol	Hard Sodas, Seltzers, Alco Pops				
Spirits	1005	1001	Alcohol	Spirits				
Wine	1006	1001	Alcohol	Wine				
Culture and Fine Arts	1007		Culture and Fine Arts			29	27	Culture and Fine Arts
Museums and Galleries	1008	1007	Culture and Fine Arts	Museums and Galleries		33	30	Museums and Galleries
Business and Industrial	1009		Business and Industrial			119		Business and Industrial
Advertising and Marketing	1010	1009	Business and Industrial	Advertising and Marketing		120	119	Advertising and Marketing
Business Services	1011	1009	Business and Industrial	Business Services				
Consulting	1012	1011	Business and Industrial	Business Services	Consulting			
Employee Expense and Time Tracking Services	1013	1011	Business and Industrial	Business Services	Employee Expense and Time Tracking Services			
Human Resources and Recruiting	1014	1011	Business and Industrial	Business Services	Human Resources and Recruiting	130	119	Human Resources
Information Technology Services	1015	1011	Business and Industrial	Business Services	Information Technology Services			
Laundry and Dry Cleaning Services	1016	1011	Business and Industrial	Business Services	Laundry and Dry Cleaning Services	138	119	Laundry and Dry Cleaning Services
Logistics and Delivery	1017	1011	Business and Industrial	Business Services	Logistics and Delivery	749		Logistics and Delivery
Office Equipment and Supplies	1018	1011	Business and Industrial	Business Services	Office Equipment and Supplies	759		Office Equipment and Supplies
Photographers	1019	1011	Business and Industrial	Business Services	Photographers	144	119	Photographers
Printing/Fax/WiFi Services	1020	1011	Business and Industrial	Business Services	Printing/Fax/WiFi Services	145	119	Printing/Fax/WiFi Services
Public Relations and Strategic Communication	1021	1011	Business and Industrial	Business Services	Public Relations and Strategic Communication	146	119	Public Relations and Strategic Communication
Security & Protection	1022	1011	Business and Industrial	Business Services	Security & Protection			
Storage Facilities	1023	1011	Business and Industrial	Business Services	Storage Facilities	751	749	Storage Facilities
Telecom Services	1024	1011	Business and Industrial	Business Services	Telecom Services	159	119	Telecom Services
Web Hosting and Cloud Computing	1025	1011	Business and Industrial	Business Services	Web Hosting and Cloud Computing	863	860	Web Hosting and Cloud Computing
Construction	1026	1009	Business and Industrial	Construction		123	119	Construction
Energy Industry	1027	1009	Business and Industrial	Energy Industry		124	119	Energy Industry
Electric Power Industry	1028	1027	Business and Industrial	Energy Industry	Electric Power Industry	127	124	Electric Power Industry
Energy Services	1029	1027	Business and Industrial	Energy Industry	Energy Services	125	124	Energy Services
Green Energy	1030	1027	Business and Industrial	Energy Industry	Green Energy			
