Ad Product 2.0 --> Content 1.0								
Ad Product 2.0					Content 1.0			
Name	Unique ID	Tier 1	Tier 2	Tier 3	Name	Content 1.0 ID	Tier 1	Tier 2
Ad Safety Risk	1000	Ad Safety Risk			Non-Standard Content	IAB25	Non-Standard Content	
Adult Products and Services	1001	Adult Products and Services			Non-Standard Content	IAB25	Non-Standard Content	
Alcohol	1002	Alcohol			Cocktails/Beer	IAB8-5	Food & Drink	Cocktails/Beer
Bars	1003	Alcohol	Bars		Dining Out	IAB8-9	Food & Drink	Dining Out
Beer	1004	Alcohol	Beer		Cocktails/Beer	IAB8-5	Food & Drink	Cocktails/Beer
Hard Sodas, Seltzers, Alco Pops	1005	Alcohol	Hard Sodas, Seltzers, Alco Pops		Cocktails/Beer	IAB8-6	Food & Drink	Cocktails/Beer
Spirits	1006	Alcohol	Spirits		Cocktails/Beer	IAB8-7	Food & Drink	Cocktails/Beer
Wine	1007	Alcohol	Wine		Wine	IAB8-18	Food & Drink	Wine
Culture and Fine Arts	1008	Culture and Fine Arts			Arts & Entertainment	IAB1	Arts & Entertainment	
Museums and Galleries	1009	Culture and Fine Arts	Museums and Galleries		Arts & Entertainment	IAB1	Arts & Entertainment	
Business and Industrial	1010	Business and Industrial			Business	IAB3	Business	
Advertising and Marketing	1011	Business and Industrial	Advertising and Marketing		Advertising	IAB3-1	Business	Advertising
Business Services	1012	Business and Industrial	Business Services		Business	IAB3	Business	
Consulting	1013	Business and Industrial	Business Services	Consulting	Business	IAB3	Business	
Employee Expense and Time Tracking Services	1014	Business and Industrial	Business Services	Employee Expense and Time Tracking Services	Business	IAB3	Business	
Event Planning	1015	Business and Industrial	Business Services	Event Planning	Business	IAB3	Business	
Human Resources and Recruiting	1016	Business and Industrial	Business Services	Human Resources and Recruiting	Human Resources	IAB3-9	Business	Human Resources
Information Technology Services	1017	Business and Industrial	Business Services	Information Technology Services	Business	IAB3	Business	
Laundry and Dry Cleaning Services	1018	Business and Industrial	Business Services	Laundry and Dry Cleaning Services	Business	IAB3	Business	
Logistics and Delivery	1019	Business and Industrial	Business Services	Logistics and Delivery	Logistics	IAB3-10	Business	Logistics
Office Equipment and Supplies	1020	Business and Industrial	Business Services	Office Equipment and Supplies	Business	IAB3	Business	
Photographers	1021	Business and Industrial	Business Services	Photographers	Business	IAB3	Business	
Printing/Fax/WiFi Services	1022	Business and Industrial	Business Services	Printing/Fax/WiFi Services	Business	IAB3	Business	
Public Relations and Strategic Communication	1023	Business and Industrial	Business Services	Public Relations and Strategic Communication	Business	IAB3	Business	
Security and Protection	1024	Business and Industrial	Business Services	Security and Protection	Business	IAB3	Business	
Storage Facilities	1025	Business and Industrial	Business Services	Storage Facilities	Business	IAB3	Business	
Telecom Services	1026	Business and Industrial	Business Services	Telecom Services	Business	IAB3	Business	
Web Hosting and Cloud Computing	1027	Business and Industrial	Business Services	Web Hosting and Cloud Computing	Business	IAB3	Business	
Construction	1028	Business and Industrial	Construction		Construction	IAB3-5	Business	Construction
Energy Industry	1029	Business and Industrial	Energy Industry		Business	IAB3	Business	
Electric Power Industry	1030	Business and Industrial	Energy Industry	Electric Power Industry	Business	IAB3	Business	
Energy Services	1031	Business and Industrial	Energy Industry	Energy Services	Business	IAB3	Business	
Green Energy	1032	Business and Industrial	Energy Industry	Green Energy	Green Solutions	IAB3-8	Business	Green Solutions
Oil, Gas and Consumable Fuels	1033	Business and Industrial	Energy Industry	Oil, Gas and Consumable Fuels	Business	IAB3	Business	
Forestry and Logging	1034	Business and Industrial	Forestry and Logging		Forestry	IAB3-6	Business	Forestry
Industrial Storage	1035	Business and Industrial	Industrial Storage		Business	IAB3	Business	
Industrials	1036	Business and Industrial	Industrials		Business	IAB3	Business	
Aerospace and Defense	1037	Business and Industrial	Industrials	Aerospace and Defense	Business	IAB3	Business	
Construction and Engineering	1038	Business and Industrial	Industrials	Construction and Engineering	Construction	IAB3-5	Business	Construction
Industrial Conglomerates	1039	Business and Industrial	Industrials	Industrial Conglomerates	Business	IAB3	Business	
Trading Companies and Distributors	1040	Business and Industrial	Industrials	Trading Companies and Distributors	Business	IAB3	Business	
Transportation	1041	Business and Industrial	Industrials	Transportation	Business	IAB3	Business	
Manufacturing	1042	Business and Industrial	Manufacturing		Business	IAB3	Business	
Medical and Biotechnology	1043	Business and Industrial	Medical and Biotechnology		Biotech/Biomedical	IAB3-3	Business	Biotech/Biomedical
Mining and Quarrying	1044	Business and Industrial	Mining and Quarrying		Business	IAB3	Business	
Science and Laboratory	1045	Business and Industrial	Science and Laboratory		Science	IAB3	Science	
Signage	1046	Business and Industrial	Signage		Business	IAB3	Business	
Small Business	1047	Business and Industrial	Small Business		Business	IAB3	Business	
Waste Disposal and Recycling	1048	Business and Industrial	Waste Disposal and Recycling		Business	IAB3	Business	
Cannabis	1049	Cannabis			Non-Standard Content	IAB25	Non-Standard Content	
Cannabis Consumables	1050	Cannabis	Cannabis Consumables		Non-Standard Content	IAB25	Non-Standard Content	
Cannabis Drinks	1051	Cannabis	Cannabis Consumables	Cannabis Drinks	Non-Standard Content	IAB25	Non-Standard Content	
Cannabis Edibles	1052	Cannabis	Cannabis Consumables	Cannabis Edibles	Non-Standard Content	IAB25	Non-Standard Content	
Cannabis Equipment	1053	Cannabis	Cannabis Equipment		Non-Standard Content	IAB25	Non-Standard Content	
Cannabis Stores	1054	Cannabis	Cannabis Stores		Non-Standard Content	IAB25	Non-Standard Content	
Cannabis Stocks	1055	Cannabis	Cannabis Stocks		Non-Standard Content	IAB25	Non-Standard Content	
CBD Consumables	1056	Cannabis	CBD Consumables		Non-Standard Content	IAB25	Non-Standard Content	
CBD Topicals	1057	Cannabis	CBD Topicals		Non-Standard Content	IAB25	Non-Standard Content	
Clothing and Accessories	1058	Clothing and Accessories			Style & Fashion	IAB18	Style & Fashion	
Clothing	1059	Clothing and Accessories	Clothing		Clothing	IAB18-5	Style & Fashion	Clothing
Children's Clothing	1060	Clothing and Accessories	Clothing	Children's Clothing	Clothing	IAB18-5	Style & Fashion	Clothing
Maternity Clothing	1061	Clothing and Accessories	Clothing	Maternity Clothing	Clothing	IAB18-5	Style & Fashion	Clothing
Men's Clothing	1062	Clothing and Accessories	Clothing	Men's Clothing	Clothing	IAB18-5	Style & Fashion	Clothing
Sportswear	1063	Clothing and Accessories	Clothing	Sportswear	Clothing	IAB18-5	Style & Fashion	Clothing
Swimwear 	1064	Clothing and Accessories	Clothing	Swimwear 	Clothing	IAB18-5	Style & Fashion	Clothing
Underwear and Lingerie	1065	Clothing and Accessories	Clothing	Underwear and Lingerie	Clothing	IAB18-5	Style & Fashion	Clothing
Wedding Dresses/Bridal Wear/Tuxedos	1066	Clothing and Accessories	Clothing	Wedding Dresses/Bridal Wear/Tuxedos	Clothing	IAB18-5	Style & Fashion	Clothing
Women's Clothing	1067	Clothing and Accessories	Clothing	Women's Clothing	Clothing	IAB18-5	Style & Fashion	Clothing
Clothing Accessories	1068	Clothing and Accessories	Clothing Accessories		Accessories	IAB18-6	Style & Fashion	Accessories
Costumes and Accessories	1069	Clothing and Accessories	Costumes and Accessories		Accessories	IAB18-6	Style & Fashion	Accessories
Footwear	1070	Clothing and Accessories	Footwear		Accessories	IAB18-6	Style & Fashion	Accessories
Footwear Accessories	1071	Clothing and Accessories	Footwear Accessories		Accessories	IAB18-6	Style & Fashion	Accessories
Handbags and Wallets	1072	Clothing and Accessories	Handbags and Wallets		Accessories	IAB18-6	Style & Fashion	Accessories
Jewelry and Watches	1073	Clothing and Accessories	Jewelry and Watches		Jewelry	IAB18-4	Style & Fashion	Jewelry
Sunglasses	1074	Clothing and Accessories	Sunglasses		Accessories	IAB18-6	Style & Fashion	Accessories
Collectables and Antiques	1075	Collectables and Antiques			Collecting	IAB9-10	Hobbies & Interests	Collecting
Antiques	1076	Collectables and Antiques	Antiques		Hobbies & Interests	IAB9	Hobbies & Interests	
Coins and Paper Money	1077	Collectables and Antiques	Coins and Paper Money		Stamps & Coins	IAB9-29	Hobbies & Interests	Stamps & Coins
Collectibles	1078	Collectables and Antiques	Collectibles		Collecting	IAB9-10	Hobbies & Interests	Collecting
Entertainment Memorabilia	1079	Collectables and Antiques	Entertainment Memorabilia		Hobbies & Interests	IAB9	Hobbies & Interests	
Sports Memorabilia and Trading Cards	1080	Collectables and Antiques	Sports Memorabilia and Trading Cards		Hobbies & Interests	IAB9	Hobbies & Interests	
Stamps	1081	Collectables and Antiques	Stamps		Stamps & Coins	IAB9-29	Hobbies & Interests	Stamps & Coins
Computer Software	1082	Computer Software			Technology & Computing	IAB19	Technology & Computing	
Enterprise Computer Software	1083	Computer Software	Enterprise Computer Software		Technology & Computing	IAB19	Technology & Computing	
Personal Computer Software	1084	Computer Software	Personal Computer Software		Technology & Computing	IAB19	Technology & Computing	
Toolbars	1085	Computer Software	Toolbars		Technology & Computing	IAB19	Technology & Computing	
Browser Extensions 	1086	Computer Software	Browser Extensions 		Technology & Computing	IAB19	Technology & Computing	
Downloadable Utilities	1087	Computer Software	Downloadable Utilities		Technology & Computing	IAB19	Technology & Computing	
Cosmetic Services	1088	Cosmetic Services			Beauty	IAB18-1	Style & Fashion	Beauty
Beauty Salons	1089	Cosmetic Services	Beauty Salons		Beauty	IAB18-1	Style & Fashion	Beauty
Hair Salons	1090	Cosmetic Services	Hair Salons		Beauty	IAB18-1	Style & Fashion	Beauty
Hair Removal	1091	Cosmetic Services	Hair Removal		Beauty	IAB18-1	Style & Fashion	Beauty
Hair Restoration	1092	Cosmetic Services	Hair Restoration		Beauty	IAB18-1	Style & Fashion	Beauty
Nail Salons	1093	Cosmetic Services	Nail Salons		Beauty	IAB18-1	Style & Fashion	Beauty
Med Spas	1094	Cosmetic Services	Med Spas		Beauty	IAB18-1	Style & Fashion	Beauty
Piercing and Tattooing	1095	Cosmetic Services	Piercing and Tattooing		Body Art	IAB18-2	Style & Fashion	Body Art
Tanning Salons	1096	Cosmetic Services	Tanning Salons		Beauty	IAB18-1	Style & Fashion	Beauty
Consumer Electronics	1097	Consumer Electronics			Technology & Computing	IAB19	Technology & Computing	
Arcade Equipment	1098	Consumer Electronics	Arcade Equipment		Video & Computer Games	IAB9-30	Hobbies & Interests	Video & Computer Games
Camcorders	1099	Consumer Electronics	Camcorders		Cameras & Camcorders	IAB19-5	Technology & Computing	Cameras & Camcorders
Cameras and Photo	1100	Consumer Electronics	Cameras and Photo		Cameras & Camcorders	IAB19-5	Technology & Computing	Cameras & Camcorders
Camera and Photo Accessories	1101	Consumer Electronics	Cameras and Photo	Camera and Photo Accessories	Cameras & Camcorders	IAB19-5	Technology & Computing	Cameras & Camcorders
Cameras	1102	Consumer Electronics	Cameras and Photo	Cameras	Cameras & Camcorders	IAB19-5	Technology & Computing	Cameras & Camcorders
