Name	Unique ID	Tier 1	Tier 2	Tier 3	Unique ID	Name
Ad Safety Risk	1000	Ad Safety Risk			v9i3On	Sensitive Topics
Adult Products and Services	1001	Adult Products and Services			Rm3SiT	Adult & Explicit Sexual Content
Alcohol	1002	Alcohol			211	Alcoholic Beverages
Bars	1003	Alcohol	Bars		150	Bars & Restaurants
Beer	1004	Alcohol	Beer		211	Alcoholic Beverages
Hard Sodas, Seltzers, Alco Pops	1005	Alcohol	Hard Sodas, Seltzers, Alco Pops		211	Alcoholic Beverages
Spirits	1006	Alcohol	Spirits		211	Alcoholic Beverages
Wine	1007	Alcohol	Wine		211	Alcoholic Beverages
Culture and Fine Arts	1008	Culture and Fine Arts			201	Fine Art
Museums and Galleries	1009	Culture and Fine Arts	Museums and Galleries		155	Museums & Galleries
Business and Industrial	1010	Business and Industrial			53	Business
Advertising and Marketing	1011	Business and Industrial	Advertising and Marketing		91	Advertising Industry
Business Services	1012	Business and Industrial	Business Services		53	Business
Consulting	1013	Business and Industrial	Business Services	Consulting	53	Business
Employee Expense and Time Tracking Services	1014	Business and Industrial	Business Services	Employee Expense and Time Tracking Services	53	Business
Event Planning	1015	Business and Industrial	Business Services	Event Planning	53	Business
Human Resources and Recruiting	1016	Business and Industrial	Business Services	Human Resources and Recruiting	55	Human Resources
Information Technology Services	1017	Business and Industrial	Business Services	Information Technology Services	53	Business
Laundry and Dry Cleaning Services	1018	Business and Industrial	Business Services	Laundry and Dry Cleaning Services	53	Business
Logistics and Delivery	1019	Business and Industrial	Business Services	Logistics and Delivery	101	Logistics and Transportation Industry
Office Equipment and Supplies	1020	Business and Industrial	Business Services	Office Equipment and Supplies	53	Business
Photographers	1021	Business and Industrial	Business Services	Photographers	53	Business
Printing/Fax/WiFi Services	1022	Business and Industrial	Business Services	Printing/Fax/WiFi Services	53	Business
Public Relations and Strategic Communication	1023	Business and Industrial	Business Services	Public Relations and Strategic Communication	53	Business
Security and Protection	1024	Business and Industrial	Business Services	Security and Protection	53	Business
Storage Facilities	1025	Business and Industrial	Business Services	Storage Facilities	53	Business
Telecom Services	1026	Business and Industrial	Business Services	Telecom Services	53	Business
Web Hosting and Cloud Computing	1027	Business and Industrial	Business Services	Web Hosting and Cloud Computing	53	Business
Construction	1028	Business and Industrial	Construction		121	Construction Industry
Energy Industry	1029	Business and Industrial	Energy Industry		53	Business
Electric Power Industry	1030	Business and Industrial	Energy Industry	Electric Power Industry	53	Business
Energy Services	1031	Business and Industrial	Energy Industry	Energy Services	53	Business
Green Energy	1032	Business and Industrial	Energy Industry	Green Energy	78	Green Solutions
Oil, Gas and Consumable Fuels	1033	Business and Industrial	Energy Industry	Oil, Gas and Consumable Fuels	53	Business
Forestry and Logging	1034	Business and Industrial	Forestry and Logging		53	Business
Industrial Storage	1035	Business and Industrial	Industrial Storage		53	Business
Industrials	1036	Business and Industrial	Industrials		53	Business
Aerospace and Defense	1037	Business and Industrial	Industrials	Aerospace and Defense	53	Business
Construction and Engineering	1038	Business and Industrial	Industrials	Construction and Engineering	121	Construction Industry
Industrial Conglomerates	1039	Business and Industrial	Industrials	Industrial Conglomerates	53	Business
Trading Companies and Distributors	1040	Business and Industrial	Industrials	Trading Companies and Distributors	53	Business
Transportation	1041	Business and Industrial	Industrials	Transportation	53	Business
Manufacturing	1042	Business and Industrial	Manufacturing		53	Business
Medical and Biotechnology	1043	Business and Industrial	Medical and Biotechnology		119	Biotech and Biomedical Industry
Mining and Quarrying	1044	Business and Industrial	Mining and Quarrying		53	Business
Science and Laboratory	1045	Business and Industrial	Science and Laboratory		53	Science
Signage	1046	Business and Industrial	Signage		53	Business
Small Business	1047	Business and Industrial	Small Business		53	Business
Waste Disposal and Recycling	1048	Business and Industrial	Waste Disposal and Recycling		53	Business
Cannabis	1049	Cannabis			v9i3On	Sensitive Topics
Cannabis Consumables	1050	Cannabis	Cannabis Consumables		v9i3On	Sensitive Topics
Cannabis Drinks	1051	Cannabis	Cannabis Consumables	Cannabis Drinks	v9i3On	Sensitive Topics
Cannabis Edibles	1052	Cannabis	Cannabis Consumables	Cannabis Edibles	v9i3On	Sensitive Topics
Cannabis Equipment	1053	Cannabis	Cannabis Equipment		v9i3On	Sensitive Topics
Cannabis Stores	1054	Cannabis	Cannabis Stores		v9i3On	Sensitive Topics
Cannabis Stocks	1055	Cannabis	Cannabis Stocks		v9i3On	Sensitive Topics
CBD Consumables	1056	Cannabis	CBD Consumables		v9i3On	Sensitive Topics
CBD Topicals	1057	Cannabis	CBD Topicals		v9i3On	Sensitive Topics
Clothing and Accessories	1058	Clothing and Accessories			552	Style & Fashion
Clothing	1059	Clothing and Accessories	Clothing		552	Style & Fashion
Children's Clothing	1060	Clothing and Accessories	Clothing	Children's Clothing	575	Children's Clothing
Maternity Clothing	1061	Clothing and Accessories	Clothing	Maternity Clothing	566	Women's Clothing
Men's Clothing	1062	Clothing and Accessories	Clothing	Men's Clothing	582	Men's Clothing
Sportswear	1063	Clothing and Accessories	Clothing	Sportswear	552	Style & Fashion
Swimwear 	1064	Clothing and Accessories	Clothing	Swimwear 	552	Style & Fashion
Underwear and Lingerie	1065	Clothing and Accessories	Clothing	Underwear and Lingerie	570	Women's Intimates and Sleepwear
Wedding Dresses/Bridal Wear/Tuxedos	1066	Clothing and Accessories	Clothing	Wedding Dresses/Bridal Wear/Tuxedos	165	Wedding
Women's Clothing	1067	Clothing and Accessories	Clothing	Women's Clothing	566	Women's Clothing
Clothing Accessories	1068	Clothing and Accessories	Clothing Accessories		561	Women's Accessories
Costumes and Accessories	1069	Clothing and Accessories	Costumes and Accessories		561	Women's Accessories
Footwear	1070	Clothing and Accessories	Footwear		573	Women's Shoes and Footwear
