Content Taxonomy 1.0 Unique ID	Content Taxonomy 1.0 Tier 1 Value	Content Taxonomy 1.0 Tier 2 Value	Ad Product Taxonomy 2.0 Unique ID	Ad Product Taxonomy 2.0 Tier 1 Value	Ad Product Taxonomy 2.0 Tier 2 Value	Ad Product Taxonomy 2.0 Tier 3 Value
IAB1	Arts & Entertainment		1008	Culture and Fine Arts		
IAB1-1	Arts & Entertainment	Books & Literature	1422	Media	Books and Audio Books	
IAB1-2	Arts & Entertainment	Celebrity Fan/Gossip	1419	Media		
IAB1-3	Arts & Entertainment	Fine Art	1008	Culture and Fine Arts		
IAB1-4	Arts & Entertainment	Humor	1315	Events and Performances		
IAB1-5	Arts & Entertainment	Movies	1317	Events and Performances	Cinemas and Movie Events	
IAB1-6	Arts & Entertainment	Music	1419	Media		
IAB1-7	Arts & Entertainment	Television	1429	Media	Live Television	
IAB2	Automotive		1551	Vehicles		
IAB2-1	Automotive	Auto Parts	1558	Vehicles	Automotive Products	Automotive Parts and Accessories
IAB2-2	Automotive	Auto Repair	1562	Vehicles	Automotive Services	Auto Repair
IAB2-3	Automotive	Buying/Selling Cars	1553	Vehicles	Automotive Ownership	
IAB2-4	Automotive	Car Culture	1551	Vehicles		
IAB2-5	Automotive	Certified Pre-Owned	1551	Vehicles		
IAB2-6	Automotive	Convertible	1551	Vehicles		
IAB2-7	Automotive	Coupe	1551	Vehicles		
IAB2-8	Automotive	Crossover	1551	Vehicles		
IAB2-9	Automotive	Diesel	1551	Vehicles		
IAB2-10	Automotive	Electric Vehicle	1551	Vehicles		
IAB2-11	Automotive	Hatchback	1551	Vehicles		
IAB2-12	Automotive	Hybrid	1551	Vehicles		
IAB2-13	Automotive	Luxury	1551	Vehicles		
IAB2-14	Automotive	MiniVan	1551	Vehicles		
IAB2-15	Automotive	Mororcycles	1551	Vehicles		
IAB2-16	Automotive	Off-Road Vehicles	1551	Vehicles		
IAB2-17	Automotive	Performance Vehicles	1551	Vehicles		
IAB2-18	Automotive	Pickup	1551	Vehicles		
IAB2-19	Automotive	Road-Side Assistance	1551	Vehicles		
IAB2-20	Automotive	Sedan	1551	Vehicles		
IAB2-21	Automotive	Trucks & Accessories	1551	Vehicles		
IAB2-22	Automotive	Vintage Cars	1551	Vehicles		
IAB2-23	Automotive	Wagon	1551	Vehicles		
IAB3	Business		1010	Business and Industrial		
IAB3-1	Business	Advertising	1011	Business and Industrial	Advertising and Marketing	
IAB3-2	Business	Agriculture	1010	Business and Industrial		
IAB3-3	Business	Biotech/Biomedical	1043	Business and Industrial	Medical and Biotechnology	
IAB3-4	Business	Business Software	1085	Computer Software	Enterprise Computer Software	
IAB3-5	Business	Construction	1038	Business and Industrial	Industrials	Construction and Engineering
IAB3-6	Business	Forestry	1034	Business and Industrial	Forestry and Logging	
IAB3-7	Business	Government	1010	Business and Industrial		
IAB3-8	Business	Green Solutions	1032	Business and Industrial	Energy Industry	Green Energy
IAB3-9	Business	Human Resources	1012	Business and Industrial	Business Services	Human Resources and Recruiting
IAB3-10	Business	Logistics	1019	Business and Industrial	Business Services	Logistics and Delivery
IAB3-11	Business	Marketing	1011	Business and Industrial	Advertising and Marketing	
IAB3-12	Business	Metals	1443	Metals		
IAB4	Careers		1295	Education and Careers		
IAB4-1	Careers	Career Planning	1295	Education and Careers		
IAB4-2	Careers	College	1298	Education and Careers	Colleges and Universities	
IAB4-3	Careers	Financial Aid	1353	Finance and Insurance	Student Financial Aid	
IAB4-4	Careers	Job Fairs	1295	Education and Careers		
IAB4-5	Careers	Job Search	1295	Education and Careers		
IAB4-6	Careers	Resume Writing/Advice	1295	Education and Careers		
IAB4-7	Careers	Nursing	1295	Education and Careers		
IAB4-8	Careers	Scholarships	1452	Non-Profits	Scholarships	
IAB4-9	Careers	Telecommuting	1311	Education and Careers	Remote work and school	Telecommuting
IAB4-10	Careers	U.S. Military	1452	Non-Profits	Military Organizations	
IAB4-11	Careers	Career Advice	1295	Education and Careers		
IAB5	Education		1295	Education and Careers		
IAB5-1	Education	41832 Education	1295	Education and Careers		
IAB5-2	Education	Adult Education	1296	Education and Careers	Adult Education	
IAB5-3	Education	Art History	1295	Education and Careers		
IAB5-4	Education	Colledge Administration	1295	Education and Careers		
IAB5-5	Education	College Life	1295	Education and Careers		
IAB5-6	Education	Distance Learning	1307	Education and Careers	Remote work and school	Distance Learning
IAB5-7	Education	English as a 2nd Language	1295	Education and Careers		
IAB5-8	Education	Language Learning	1303	Education and Careers	Language Learning	
IAB5-9	Education	Graduate School	1302	Education and Careers	Higher Education	
IAB5-10	Education	Homeschooling	1308	Education and Careers	Remote work and school	Homeschooling
IAB5-11	Education	Homework/Study Tips	1295	Education and Careers		
IAB5-12	Education	K-6 Educators	1295	Education and Careers		
IAB5-13	Education	Private School	1295	Education and Careers		
IAB5-14	Education	Special Education	1295	Education and Careers		
IAB5-15	Education	Studying Business	1295	Education and Careers		
IAB6	Family & Parenting		1328	Family and Parenting		
IAB6-1	Family & Parenting	Adoption	1328	Family and Parenting		
IAB6-2	Family & Parenting	Babies & Toddlers	1328	Family and Parenting		
IAB6-3	Family & Parenting	Daycare/Pre School	1330	Family and Parenting	Childcare	Day Care Centers
IAB6-4	Family & Parenting	Family Internet	1328	Family and Parenting		
IAB6-5	Family & Parenting	Parenting - K-6 Kids	1328	Family and Parenting		
IAB6-6	Family & Parenting	Parenting teens	1328	Family and Parenting		
IAB6-7	Family & Parenting	Pregnancy	1328	Family and Parenting		
IAB6-8	Family & Parenting	Special Needs Kids	1328	Family and Parenting		
IAB6-9	Family & Parenting	Eldercare	1328	Family and Parenting	Senior Living	
IAB7	Health & Fitness		1378	Health and Medical Services		
IAB7-1	Health & Fitness	Exercise	1510	Fitness Activities		
IAB7-2	Health & Fitness	A.D.D.	1473	Pharmaceuticals		
IAB7-3	Health & Fitness	AIDS/HIV	1473	Pharmaceuticals		
IAB7-4	Health & Fitness	Allergies	1208	Consumer Packaged Goods	Over the Counter Medication	
IAB7-5	Health & Fitness	Alternative Medicine	1379	Health and Medical Services	Alternative and Natural Medicine	
IAB7-6	Health & Fitness	Arthritis	1473	Pharmaceuticals		
IAB7-7	Health & Fitness	Asthma	1473	Pharmaceuticals		
IAB7-8	Health & Fitness	Autism/PDD	1378	Health and Medical Services		
IAB7-9	Health & Fitness	Bipolar Disorder	1473	Pharmaceuticals		
IAB7-10	Health & Fitness	Brain Tumor	1378	Health and Medical Services		
IAB7-11	Health & Fitness	Cancer	1378	Health and Medical Services		
IAB7-12	Health & Fitness	Cholesterol	1473	Pharmaceuticals		
IAB7-13	Health & Fitness	Chronic Fatigue Syndrome	1473	Pharmaceuticals		
IAB7-14	Health & Fitness	Chronic Pain	1473	Pharmaceuticals		
IAB7-15	Health & Fitness	Cold & Flu	1208	Consumer Packaged Goods	Over the Counter Medication	
IAB7-16	Health & Fitness	Deafness	1378	Health and Medical Services		
IAB7-17	Health & Fitness	Dental Care	1384	Health and Medical Services	Dental Care	
IAB7-18	Health & Fitness	Depression	1473	Pharmaceuticals		
IAB7-19	Health & Fitness	Dermatology	1385	Health and Medical Services	Dermatology	
IAB7-20	Health & Fitness	Diabetes	1473	Pharmaceuticals		
IAB7-21	Health & Fitness	Epilepsy	1473	Pharmaceuticals		
IAB7-22	Health & Fitness	GERD/Acid Reflux	1208	Consumer Packaged Goods	Over the Counter Medication	
IAB7-23	Health & Fitness	Headaches/Migraines	1208	Consumer Packaged Goods	Over the Counter Medication	
IAB7-24	Health & Fitness	Heart Disease	1473	Pharmaceuticals		
IAB7-25	Health & Fitness	Herbs for Health	1379	Health and Medical Services	Alternative and Natural Medicine	
IAB7-26	Health & Fitness	Holistic Healing	1379	Health and Medical Services	Alternative and Natural Medicine	
IAB7-27	Health & Fitness	IBS/Crohn's Disease	1473	Pharmaceuticals		
IAB7-28	Health & Fitness	Incest/Abuse Support	1391	Health and Medical Services	Mental Health	
IAB7-29	Health & Fitness	Incontinence	1214	Consumer Packaged Goods	Personal Care	
IAB7-30	Health & Fitness	Infertility	1387	Health and Medical Services	Fertility and Family Planning	
IAB7-31	Health & Fitness	Men's Health	1378	Health and Medical Services		
IAB7-32	Health & Fitness	Nutrition	1378	Health and Medical Services		
IAB7-33	Health & Fitness	Orthopedics	1378	Health and Medical Services		
IAB7-34	Health & Fitness	Panic/Anxiety Disorders	1473	Pharmaceuticals		
IAB7-35	Health & Fitness	Pediatrics	1378	Health and Medical Services		
IAB7-36	Health & Fitness	Physical Therapy	1378	Health and Medical Services		
IAB7-37	Health & Fitness	Psychology/Psychiatry	1378	Health and Medical Services		
IAB7-38	Health & Fitness	Senior Health	1378	Health and Medical Services		
