Content 1.0 Unique ID	Content 1.0 IAB Category	Content 1.0 Tier	Content 2.0 Unique ID	Content 2.0 Parent	Content 2.0 Category	Content 2.0 Tier 1	Content 2.0 Tier 2	Content 2.0 Tier 3	Content 2.0 Tier 4	Imperfect Mapping
IAB1	Arts & Entertainment	Tier 1	1014	1010	Entertainment Content	Content Type	Entertainment Content			One to Many
IAB1-1	Books & Literature	Tier 2	42		Books and Literature	Books and Literature				
IAB1-2	Celebrity Fan/Gossip	Tier 2	432		Pop Culture	Pop Culture				
IAB1-3	Fine Art	Tier 2	201		Fine Art	Fine Art				
IAB1-4	Humor	Tier 2	440	432	Humor and Satire	Pop Culture	Humor and Satire			
IAB1-5	Movies	Tier 2	324		Movies	Movies				
IAB1-6	Music	Tier 2	338		Music and Audio	Music and Audio				
IAB1-7	Television	Tier 2	640		Television	Television				
IAB2	Automotive	Tier 1	1		Automotive	Automotive				
IAB2-1	Auto Parts	Tier 2	32	1	Auto Parts	Automotive	Auto Parts			
IAB2-2	Auto Repair	Tier 2	34	1	Auto Repair	Automotive	Auto Repair			
IAB2-3	Buying/Selling Cars	Tier 2	30	1	Auto Buying and Selling	Automotive	Auto Buying and Selling			
IAB2-4	Car Culture	Tier 2	25	1	Car Culture	Automotive	Car Culture			
IAB2-5	Certified Pre-Owned	Tier 2	18	16	Certified Pre-Owned Cars	Automotive	Auto Type	Certified Pre-Owned Cars		
IAB2-6	Convertible	Tier 2	8	2	Convertible	Automotive	Auto Body Styles	Convertible		
IAB2-7	Coupe	Tier 2	9	2	Coupe	Automotive	Auto Body Styles	Coupe		
IAB2-8	Crossover	Tier 2	10	2	Crossover	Automotive	Auto Body Styles	Crossover		
IAB2-9	Diesel	Tier 2	1		Automotive	Automotive				
IAB2-10	Electric Vehicle	Tier 2	22	16	Green Vehicles	Automotive	Auto Type	Green Vehicles		
IAB2-11	Hatchback	Tier 2	11	2	Hatchback	Automotive	Auto Body Styles	Hatchback		
IAB2-12	Hybrid	Tier 2	22	16	Green Vehicles	Automotive	Auto Type	Green Vehicles		
IAB2-13	Luxury	Tier 2	23	16	Luxury Cars	Automotive	Auto Type	Luxury Cars		
IAB2-14	MiniVan	Tier 2	13	2	Minivan	Automotive	Auto Body Styles	Minivan		
IAB2-15	Mororcycles	Tier 2	27	1	Motorcycles	Automotive	Motorcycles			
IAB2-16	Off-Road Vehicles	Tier 2	14	2	Off-Road Vehicles	Automotive	Auto Body Styles	Off-Road Vehicles		
IAB2-17	Performance Vehicles	Tier 2	24	16	Performance Cars	Automotive	Auto Type	Performance Cars		
IAB2-18	Pickup	Tier 2	15	2	Pickup Trucks	Automotive	Auto Body Styles	Pickup Trucks		
IAB2-19	Road-Side Assistance	Tier 2	28	1	Road-Side Assistance	Automotive	Road-Side Assistance			
IAB2-20	Sedan	Tier 2	4	2	Sedan	Automotive	Auto Body Styles	Sedan		
IAB2-21	Trucks & Accessories	Tier 2	3	2	Commercial Trucks	Automotive	Auto Body Styles	Commercial Trucks		
IAB2-22	Vintage Cars	Tier 2	19	16	Classic Cars	Automotive	Auto Type	Classic Cars		
IAB2-23	Wagon	Tier 2	5	2	Station Wagon	Automotive	Auto Body Styles	Station Wagon		
IAB3	Business	Tier 1	52		Business and Finance	Business and Finance				
IAB3-1	Advertising	Tier 2	91	90	Advertising Industry	Business and Finance	Industries	Advertising Industry		
IAB3-2	Agriculture	Tier 2	102	90	Agriculture	Business and Finance	Industries	Agriculture		
IAB3-3	Biotech/Biomedical	Tier 2	119	90	Biotech and Biomedical Industry	Business and Finance	Industries	Biotech and Biomedical Industry		
IAB3-4	Business Software	Tier 2	72	53	Business I.T.	Business and Finance	Business	Business I.T.		
IAB3-5	Construction	Tier 2	121	90	Construction Industry	Business and Finance	Industries	Construction Industry		
IAB3-6	Forestry	Tier 2	102	90	Agriculture	Business and Finance	Industries	Agriculture		
IAB3-7	Government	Tier 2	77	53	Government Business	Business and Finance	Business	Government Business		
IAB3-8	Green Solutions	Tier 2	78	53	Green Solutions	Business and Finance	Business	Green Solutions		
IAB3-9	Human Resources	Tier 2	55	53	Human Resources	Business and Finance	Business	Human Resources		
IAB3-10	Logistics	Tier 2	57	53	Logistics	Business and Finance	Business	Logistics		
IAB3-11	Marketing	Tier 2	58	53	Marketing and Advertising	Business and Finance	Business	Marketing and Advertising		
IAB3-12	Metals	Tier 2	107	90	Metals Industry	Business and Finance	Industries	Metals Industry		
IAB4	Careers	Tier 1	123		Careers	Careers				
IAB4-1	Career Planning	Tier 2	126	123	Career Planning	Careers	Career Planning			
IAB4-2	College	Tier 2	137	132	College Education	Education	College Education			
IAB4-3	Financial Aid	Tier 2	395	393	Student Financial Aid	Personal Finance	Financial Assistance	Student Financial Aid		
IAB4-4	Job Fairs	Tier 2	128	127	Job Fairs	Careers	Job Search	Job Fairs		
IAB4-5	Job Search	Tier 2	127	123	Job Search	Careers	Job Search			
IAB4-6	Resume Writing/Advice	Tier 2	129	127	Resume Writing and Advice	Careers	Job Search	Resume Writing and Advice		
IAB4-7	Nursing	Tier 2	123		Careers	Careers				Mapped to Parent
IAB4-8	Scholarships	Tier 2	395	393	Student Financial Aid	Personal Finance	Financial Assistance	Student Financial Aid		
IAB4-9	Telecommuting	Tier 2	130	123	Remote Working	Careers	Remote Working			
IAB4-10	U.S. Military	Tier 2	122	90	Defense Industry	Business and Finance	Industries	Defense Industry		
IAB4-11	Career Advice	Tier 2	125	123	Career Advice	Careers	Career Advice			
IAB5	Education	Tier 1	132		Education	Education				
IAB5-1	41832 Education	Tier 2	132		Education	Education				
IAB5-2	Adult Education	Tier 2	133	132	Adult Education	Education	Adult Education			
IAB5-3	Art History	Tier 2	132		Education	Education				
