New Taxonomy ID	OLD RTB ID	OLD SUBJECT (v1)	New subject (v2)			NOT MAPPED (deprecated)	
603	IAB19-1	3-D Graphics	3-D Graphics			Architects	IAB21-2
193	IAB6-1	Adoption	Adoption and Fostering			Art History	IAB5-3
133	IAB5-2	Adult Education	Adult Education			Arts/Ent	IAB1
665	IAB20-1	Adventure travel	Adventure Travel			College	IAB4-2
656	IAB20-2	Africa	Africa Travel			College Admin	IAB5-4
454	IAB23-2	Atheism/Agnosticism	Agnosticism			Commentary	IAB11-5
102	IAB3-2	Agriculture	Agriculture			Comparison	IAB22-3
672	IAB20-3	Air Travel	Air Travel			Computer certification	IAB19-7
211	IAB8-5	Cocktails/Beer	Alcoholic Beverages			Computer Reviews	IAB19-10
211	IAB8-18	Wine	Alcoholic Beverages			Copyright Infringement	IAB26-4
288	IAB7-4	Allergies	Allergies			Desktop Video	IAB19-14
233	IAB7-5	Alternative Medicine	Alternative Medicine			Diesel	IAB2-9
484	IAB17-12	Football	American Football			Distance Learing	IAB5-6
608	IAB19-3	Antivirus Software	Antivirus Software			Engines	IAB22-4
442	IAB21-1	Apartments	Apartments			Entertainment	IAB19-29
248	IAB9-2	Arts & Crafts	Arts and Crafts			ESL	IAB5-7
456	IAB15-1	Astrology	Astrology			Ethnic Specific	IAB14-8
265	IAB9-17	Home Recording	Audio Production			Extreme Graphic/Explicit Violence	IAB25-2
658	IAB20-4	Australia & NZ	Australia and Oceania Travel			Forestry	IAB3-6
30	IAB2-3	Buying/Selling Cars	Auto Buying and Selling			Game & fish	IAB17-14
32	IAB2-1	Auto Parts	Auto Parts			Gay life	IAB14-3
518	IAB17-1	Auto racing	Auto Racing			Hate Content	IAB25-5
34	IAB2-2	Auto Repair	Auto Repair			Illegal Content	IAB26
1	IAB2	Automotive	Automotive			Illegal Content	IAB26-1
215	IAB8-2	Barbecues & Grilling	Barbecues and Grilling			Incentivized	IAB25-7
545	IAB17-2	Baseball	Baseball			Incest/Abuse Support	IAB7-28
547	IAB17-26	Pro Basketball	Basketball			Investors & patents	IAB9-18
249	IAB9-3	Beadwork	Beadwork			Mac Support	IAB19-21
553	IAB18-1	Beauty	Beauty			National Parks	IAB20-22
674	IAB20-5	Bed & Breakfasts	Bed & Breakfasts			Non-Standard Content	IAB25
465	IAB15-2	Biology	Biological Sciences			Nursing	IAB4-7
119	IAB3-3	Biotech/Biomedical	Biotech and Biomedical Industry			PC Support	IAB19-27
423	IAB16-2	Birds	Birds			Pornography	IAB25-3
259	IAB9-4	Birdwatching	Birdwatching			Portable	IAB19-28
